Time	TH	ErrTH	H	Prob[Metastasis--Apoptosis--CellCycleArrest]	ErrProb[Metastasis--Apoptosis--CellCycleArrest]	Prob[Migration--Invasion--EMT--Apoptosis--CellCycleArrest]	ErrProb[Migration--Invasion--EMT--Apoptosis--CellCycleArrest]	Prob[Metastasis--EMT--Apoptosis--CellCycleArrest]	ErrProb[Metastasis--EMT--Apoptosis--CellCycleArrest]	Prob[Metastasis--CellCycleArrest]	ErrProb[Metastasis--CellCycleArrest]	Prob[Migration--Metastasis--Invasion--EMT--Apoptosis]	ErrProb[Migration--Metastasis--Invasion--EMT--Apoptosis]	Prob[Migration--Invasion--CellCycleArrest]	ErrProb[Migration--Invasion--CellCycleArrest]	Prob[Migration]	ErrProb[Migration]	Prob[Migration--Invasion--EMT]	ErrProb[Migration--Invasion--EMT]	Prob[Metastasis--Invasion--CellCycleArrest]	ErrProb[Metastasis--Invasion--CellCycleArrest]	Prob[Migration--Metastasis--Invasion--EMT]	ErrProb[Migration--Metastasis--Invasion--EMT]	Prob[Migration--Metastasis--CellCycleArrest]	ErrProb[Migration--Metastasis--CellCycleArrest]	Prob[CellCycleArrest]	ErrProb[CellCycleArrest]	Prob[Metastasis--Invasion--EMT--Apoptosis]	ErrProb[Metastasis--Invasion--EMT--Apoptosis]	Prob[Metastasis]	ErrProb[Metastasis]	Prob[<nil>]	ErrProb[<nil>]	Prob[Migration--Metastasis--EMT--CellCycleArrest]	ErrProb[Migration--Metastasis--EMT--CellCycleArrest]	Prob[Migration--EMT]	ErrProb[Migration--EMT]	Prob[Invasion--Apoptosis--CellCycleArrest]	ErrProb[Invasion--Apoptosis--CellCycleArrest]	Prob[Metastasis--EMT]	ErrProb[Metastasis--EMT]	Prob[Apoptosis--CellCycleArrest]	ErrProb[Apoptosis--CellCycleArrest]	Prob[Metastasis--Invasion]	ErrProb[Metastasis--Invasion]	Prob[Invasion--EMT--Apoptosis--CellCycleArrest]	ErrProb[Invasion--EMT--Apoptosis--CellCycleArrest]	Prob[Migration--CellCycleArrest]	ErrProb[Migration--CellCycleArrest]	Prob[EMT--Apoptosis--CellCycleArrest]	ErrProb[EMT--Apoptosis--CellCycleArrest]	Prob[Invasion--EMT--Apoptosis]	ErrProb[Invasion--EMT--Apoptosis]	Prob[Migration--Metastasis--Invasion--EMT--CellCycleArrest]	ErrProb[Migration--Metastasis--Invasion--EMT--CellCycleArrest]	Prob[EMT--CellCycleArrest]	ErrProb[EMT--CellCycleArrest]	Prob[Migration--Metastasis--Invasion--CellCycleArrest]	ErrProb[Migration--Metastasis--Invasion--CellCycleArrest]	Prob[Migration--Invasion--EMT--Apoptosis]	ErrProb[Migration--Invasion--EMT--Apoptosis]	Prob[Invasion--EMT]	ErrProb[Invasion--EMT]	Prob[Invasion--Apoptosis]	ErrProb[Invasion--Apoptosis]	Prob[Metastasis--EMT--CellCycleArrest]	ErrProb[Metastasis--EMT--CellCycleArrest]	Prob[Migration--Metastasis--EMT]	ErrProb[Migration--Metastasis--EMT]	Prob[Metastasis--Invasion--EMT]	ErrProb[Metastasis--Invasion--EMT]	Prob[EMT]	ErrProb[EMT]	Prob[Invasion]	ErrProb[Invasion]	Prob[Invasion--CellCycleArrest]	ErrProb[Invasion--CellCycleArrest]	Prob[Migration--Metastasis--EMT--Apoptosis]	ErrProb[Migration--Metastasis--EMT--Apoptosis]	Prob[Migration--Metastasis--Invasion--EMT--Apoptosis--CellCycleArrest]	ErrProb[Migration--Metastasis--Invasion--EMT--Apoptosis--CellCycleArrest]	Prob[Migration--EMT--Apoptosis--CellCycleArrest]	ErrProb[Migration--EMT--Apoptosis--CellCycleArrest]	Prob[EMT--Apoptosis]	ErrProb[EMT--Apoptosis]	Prob[Migration--EMT--Apoptosis]	ErrProb[Migration--EMT--Apoptosis]	Prob[Migration--Metastasis--Apoptosis--CellCycleArrest]	ErrProb[Migration--Metastasis--Apoptosis--CellCycleArrest]	Prob[Migration--Invasion--EMT--CellCycleArrest]	ErrProb[Migration--Invasion--EMT--CellCycleArrest]	Prob[Invasion--EMT--CellCycleArrest]	ErrProb[Invasion--EMT--CellCycleArrest]	Prob[Migration--Invasion]	ErrProb[Migration--Invasion]	Prob[Metastasis--Invasion--EMT--CellCycleArrest]	ErrProb[Metastasis--Invasion--EMT--CellCycleArrest]	Prob[Migration--EMT--CellCycleArrest]	ErrProb[Migration--EMT--CellCycleArrest]	Prob[Migration--Metastasis--Invasion]	ErrProb[Migration--Metastasis--Invasion]	Prob[Migration--Metastasis--EMT--Apoptosis--CellCycleArrest]	ErrProb[Migration--Metastasis--EMT--Apoptosis--CellCycleArrest]	Prob[Migration--Metastasis]	ErrProb[Migration--Metastasis]	Prob[Apoptosis]	ErrProb[Apoptosis]	
0.0000	0.0080	0.0003	0.0424	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000121	0.000028	0	0	0	0	0.996005	0.000203	0	0	0	0	0	0	0	0	0.000020	0.000015	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.001687	0.000133	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.002167	0.000150	
0.1000	0.0386	0.0008	0.2034	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.001548	0.000151	0	0	0	0	0.974912	0.000625	0	0	0	0	0	0	0	0	0.000213	0.000056	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000001	0.000001	0.000097	0.000033	0	0	0	0	0	0	0.000037	0.000016	0.009584	0.000392	0.000009	0.000007	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.013599	0.000463	
0.2000	0.0761	0.0011	0.4201	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.005902	0.000309	0	0	0	0	0.939942	0.000998	0	0	0	0	0	0	0	0	0.000884	0.000118	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000020	0.000020	0.000455	0.000087	0	0	0	0	0	0	0.000193	0.000058	0.021583	0.000613	0.000083	0.000033	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.030939	0.000729	
0.3000	0.1089	0.0014	0.6571	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.012858	0.000468	0	0	0	0	0.896700	0.001301	0	0	0	0	0.000007	0.000005	0	0	0.002808	0.000215	0	0	0	0	0	0	0	0	0	0	0	0	0.000006	0.000006	0	0	0	0	0.000051	0.000025	0.001525	0.000159	0	0	0	0	0	0	0.000490	0.000090	0.036244	0.000798	0.000360	0.000075	0	0	0	0	0	0	0.000017	0.000013	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.048935	0.000925	
0.4000	0.1307	0.0015	0.9016	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.022292	0.000623	0	0	0	0	0.848304	0.001548	0	0	0	0	0.000152	0.000048	0	0	0.006330	0.000333	0	0	0	0	0	0	0	0	0.000009	0.000009	0	0	0.000049	0.000027	0	0	0	0	0.000250	0.000065	0.003068	0.000234	0	0	0	0	0	0	0.001034	0.000135	0.051661	0.000957	0.000978	0.000129	0	0	0	0	0	0	0.000087	0.000038	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.065787	0.001070	
0.5000	0.1436	0.0016	1.1364	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.034105	0.000776	0	0	0	0	0.798329	0.001745	0	0	0	0	0.000431	0.000085	0	0	0.011055	0.000446	0	0	0.000007	0.000007	0	0	0	0	0.000043	0.000025	0	0	0.000182	0.000056	0	0	0	0	0.000660	0.000105	0.004951	0.000298	0	0	0	0	0	0	0.001674	0.000170	0.065002	0.001074	0.001977	0.000186	0	0	0	0	0	0	0.000139	0.000048	0	0	0	0	0	0	0.000020	0.000015	0	0	0	0	0	0	0	0	0	0	0	0	0.081427	0.001189	
0.6000	0.1514	0.0016	1.3541	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.046438	0.000908	0	0	0	0	0.750081	0.001892	0	0	0	0	0.000985	0.000132	0	0	0.017967	0.000570	0	0	0.000037	0.000026	0	0	0.000020	0.000018	0.000090	0.000038	0	0	0.000365	0.000083	0	0	0	0	0.001185	0.000146	0.006762	0.000353	0	0	0	0	0	0	0.002545	0.000215	0.077154	0.001167	0.003296	0.000244	0	0	0	0	0	0	0.000264	0.000066	0	0	0	0	0	0	0.000089	0.000037	0	0	0	0	0	0	0	0	0	0	0	0	0.092721	0.001265	
0.7000	0.1559	0.0016	1.5456	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.059049	0.001023	0	0	0	0	0.705492	0.001998	0	0	0	0	0.001680	0.000175	0	0	0.026178	0.000691	0	0	0.000067	0.000032	0	0	0.000044	0.000029	0.000205	0.000060	0	0	0.000579	0.000102	0	0	0	0	0.001749	0.000179	0.008468	0.000397	0	0	0	0	0	0	0.003583	0.000256	0.087744	0.001241	0.004526	0.000288	0	0	0	0	0	0	0.000439	0.000090	0	0	0	0	0	0	0.000185	0.000059	0	0	0	0	0	0	0	0	0	0	0	0	0.100011	0.001312	
0.8000	0.1564	0.0016	1.7273	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.072325	0.001126	0	0	0	0	0.661858	0.002077	0	0	0	0	0.002533	0.000216	0	0	0.035724	0.000807	0	0	0.000134	0.000050	0	0	0.000101	0.000043	0.000309	0.000075	0	0	0.000775	0.000121	0	0	0	0	0.002557	0.000218	0.010074	0.000434	0	0	0	0	0	0	0.005267	0.000310	0.096620	0.001298	0.006083	0.000335	0	0	0	0	0	0	0.000589	0.000103	0	0	0	0	0	0	0.000405	0.000086	0	0	0	0	0	0	0	0	0	0	0	0	0.104644	0.001342	
0.9000	0.1548	0.0016	1.8892	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000009	0.000009	0	0	0	0	0	0	0.085053	0.001218	0	0	0	0	0.622585	0.002133	0	0	0	0	0.003404	0.000252	0	0	0.046301	0.000918	0	0	0.000183	0.000058	0	0	0.000177	0.000058	0.000436	0.000089	0	0	0.001080	0.000140	0	0	0	0	0.003985	0.000270	0.011250	0.000460	0	0	0	0	0	0	0.007136	0.000363	0.102361	0.001335	0.008381	0.000392	0	0	0	0	0	0	0.000728	0.000116	0	0	0	0	0	0	0.000620	0.000108	0	0	0	0	0	0	0	0	0	0	0	0	0.106310	0.001352	
