GeneName	Responder1	Responder2	Responder3	Responder4	NonResponder1	NonResponder2	NonResponder3	NonResponder4
A1BG	2.5207186	3.4105563	-4.852411	-4.1874237	1.3002996	0.29534435	-0.29534435	-2.1389885
A1CF	1.6576235	1.5290015	2.687863	1.5738332	-2.4633186	-2.1276839	-1.5290015	-1.6063521
A2BP1	1.9955506	3.3543649	-0.8177624	-0.1550765	-0.66784763	-0.23998833	0.22513485	0.15507698
A2LD1	-0.09275031	-1.3876226	0.09275031	0.64726996	-1.306526	-0.6221621	0.18941903	0.69559264
A2M	8.747552	0.28538632	-4.01105	-3.358246	5.182932	-0.28538632	4.865508	-3.0258362
A2ML1	0.66758657	0.19149184	-3.4538248	-3.0871966	-0.19149184	2.728308	4.421171	-0.78897023
A4GALT	0.17684746	-1.6907492	0.14697838	-1.3326569	-0.14697838	-0.3698082	1.4891906	1.380023
A4GNT	7.8775325	3.4907274	-0.8001027	-0.118765354	-0.6942296	-0.47613096	0.16114378	0.118765354
AA081107	0.9889989	1.0087099	-0.7177377	-0.046616077	-0.12345743	0.04478407	0.3264532	-0.04478407
AA213559	1.7582684	4.7526326	-0.33843136	1.0380058	-0.8923788	-0.75783587	0.030153275	-0.030152798
AA401793	1.8053622	3.0587335	-0.9651718	-0.38450813	-0.72722244	1.0515957	0.021561623	-0.021561623
AA412392	1.7137232	2.9440227	-0.92930746	-0.4666319	-0.6292434	0.11687088	-0.07034397	0.07034397
AA496144	1.9295154	3.2011485	-0.87355614	-0.22678947	-0.7110114	-0.6505842	0.34797668	0.226789
AA593742	1.7982092	3.3140855	-0.99049854	-0.33295536	-0.8205204	0.57151127	0.026264668	-0.02626419
AA970917	0.45488477	1.4201162	-0.6128986	-0.048220396	0.7792847	-0.32571292	0.048220396	-0.05705428
AAA1	1.9646354	3.4037108	-0.8346405	-0.1695509	-0.71976566	-0.57913685	2.5242224	0.16955042
AAAS	-0.9656067	-0.027511597	-0.5252018	0.027511597	0.75928307	0.28491592	-0.27909136	0.38615608
AACS	-0.07222319	-0.7071295	-0.7336135	-0.8737893	0.45351934	0.856792	0.10786915	0.07222319
AACSL	1.2234745	2.5071692	-1.5352674	-0.85812855	0.41111326	1.8320737	-0.41111374	-0.5104804
AADAC	3.1604233	1.5102301	-1.4460692	-2.0845628	-2.5959926	0.7982106	2.6216078	-0.7982106
AADACL2	1.7385831	3.1234403	-1.0583386	-0.3775549	-0.90868616	4.7127213	0.020438194	-0.020437717
AADACL3	-0.19384241	1.219686	0.8010645	0.48838043	-0.5220189	-0.5066476	-0.91259265	0.19384241
AADACL4	1.9660811	3.5332036	-0.79181194	-0.15056229	-0.6550932	-0.41429615	0.2010088	0.15056229
AADAT	-1.5709081	-0.068807125	1.4833517	1.8788061	-0.3582015	-0.54110384	0.068807125	0.7812371
AAGAB	-0.006107807	0.6610527	-0.9203553	0.08965731	-0.19114065	0.006107807	-0.9401064	0.07401991
AAK1	0.49459553	-0.34607983	-0.24207878	-0.53177834	-0.1220665	0.1220665	0.21811152	0.48574162
AAMP	-0.3791337	-0.12745762	0.078400135	-0.078400135	0.843348	1.0638576	-0.385684	0.54991865
AANAT	2.7251244	2.913549	-1.2005959	6.7185526	-0.68261623	-0.67415667	-0.30645752	0.30645752
AARS	-0.37752175	-0.30590653	-0.24662423	-1.5830328	1.5701635	1.2916515	0.24662423	1.6773946
AARS2	-0.8368671	0.1768043	-0.20423675	-0.36156344	0.92992234	-0.1768043	0.42718482	0.5954535
AARSD1	-0.83813596	-0.030558348	0.039672613	-0.11448121	0.56653666	0.6953714	-0.47997594	0.030558348
AASDH	-0.6394162	0.552197	-0.06598902	0.0388484	-0.021178246	0.033272743	-0.520278	0.021178246
AASDHPPT	0.18275976	1.2219858	-0.18275976	-0.44165373	0.9690156	0.6703534	-0.3150921	-0.42765188
AASS	-0.46727705	0.5570426	-2.2744637	-2.0788817	-0.12944937	0.3315673	0.71891546	0.12944937
AATF	-1.2115326	-0.22015905	-0.9087467	-0.84939194	0.50602055	0.56283855	0.22015905	1.6347551
AATK	2.0532036	1.4472079	3.775075	3.3384762	-1.488153	-2.4284744	-1.4904623	-1.4472079
AB030181	1.2930913	2.7715325	-0.029962063	0.34256697	-1.0388718	0.02996254	-0.4314351	-0.49904633
AB072904	0.41721892	1.9712293	0.21170926	-0.683635	-2.1903985	-0.23075318	-0.21170926	0.9076612
AB231740	-0.9684527	2.5127237	-0.6402309	-1.0919049	0.23298144	0.80062175	-0.23298144	0.24543977
AB306134	1.7576218	3.363648	-0.78952837	-0.32905006	-0.4658475	0.52582645	0.03963375	-0.03963375
AB306241	1.9103088	3.2893882	-0.7705145	-0.12348032	-0.7413578	-0.6136861	0.18750286	0.12347984
AB360839	1.9571581	3.4508152	-0.7889428	-0.14476633	-0.73359346	-0.59151506	0.24961996	0.14476633
ABAT	1.6354177	-0.5559337	2.3205345	0.5559337	-0.63126636	-0.6271908	0.96297574	-2.9457657
ABCA1	0.9985957	-0.7084632	-0.19978523	-2.2045298	1.187541	0.06721735	-0.06721735	0.44979954
ABCA10	1.8327742	3.1576638	1.1467996	-0.36684895	-0.80111694	-0.33968592	0.022044659	-0.022045135
ABCA11P	0.27692056	1.4660437	1.4013727	2.4224536	-1.6560748	-2.330507	-1.4148753	-0.27692056
ABCA12	-4.1250505	-2.5919783	0.19579434	0.29308724	-0.41176295	2.6322596	0.18858695	-0.18858695
ABCA13	0.9852514	2.6243052	-0.9852519	-1.1039977	-1.6699018	-1.4777479	2.0507922	5.319474
ABCA17P	1.9324727	3.4718533	-0.8361635	-0.17372179	-0.6720505	-0.4360366	0.17372179	0.36801767
ABCA2	0.052562475	1.5856597	1.374378	0.67322373	-0.13794065	-0.6232972	-0.21960187	-0.052562475
ABCA3	1.5147974	0.47632337	-3.1220005	-3.4336421	-0.3009088	1.2821648	0.3009088	-0.5027292
ABCA4	2.6517568	3.169456	-1.059258	-0.05137825	-0.9845085	-0.81281424	0.051377773	3.0852509
ABCA5	0.12921047	-0.12921047	0.4477868	0.6418786	-1.9537311	-1.2309647	0.23469973	-2.0622616
ABCA6	4.5231166	3.5959702	-0.7725196	-0.1653943	-0.14962053	-0.43301058	0.22884607	0.14962053
ABCA7	-1.0396419	1.2879977	1.0059495	1.2649665	-0.65257883	-0.046626568	0.02956152	-0.02956152
ABCA8	1.858458	1.9955277	-2.1978307	-1.5330863	1.0316148	1.0827351	-1.0316148	-1.1995168
ABCA9	0.2239976	0.78719044	1.1630511	1.4639916	-0.41499662	-0.42128515	-0.33715248	-0.2239976
ABCB1	2.119698	3.2600179	-0.8220067	-0.17718649	-0.2965603	-0.57988834	0.29659557	0.17718697
ABCB10	-0.21499085	-0.20727038	-0.013932467	0.3239143	0.08829856	0.08074927	-0.66033053	0.013932467
ABCB11	2.0027022	3.1939898	-0.87199736	-0.18822908	-0.64092207	-0.5343261	0.28010035	0.18822908
ABCB4	3.0020142	4.139263	-1.558372	-0.92860985	-0.85318947	-0.12723207	0.44911408	0.12723207
ABCB5	1.9559517	3.4256968	-0.790823	-0.13311815	-0.695271	-0.44877338	0.17911386	0.13311863
ABCB6	-1.0370471	-0.42696404	-1.7871206	-0.96048045	0.42696404	0.7969668	0.6522205	1.6786673
ABCB7	-0.6388664	0.4184661	-0.6002712	0.26741505	0.095728874	0.24533463	-0.71248674	-0.095728874
ABCB8	-0.11705136	0.54307294	0.10679364	1.5989959	-0.7717645	-1.6266191	-0.10679364	1.1092288
ABCB9	0.10912609	1.5073481	0.2968006	-1.5479398	-0.10912609	0.41488695	-0.26959515	-0.32010078
ABCC1	-2.0279334	-1.9798315	0.53105617	0.50483775	-0.3120091	-0.16430211	0.16430211	1.9301918
ABCC10	-0.17159629	-0.21478534	0.34461474	-0.092913866	-0.078348875	0.078348875	0.45405316	1.05597
ABCC11	1.9168773	3.3848672	-0.794199	-0.11870575	-0.7210827	-0.57101154	0.18509722	0.11870623
ABCC12	1.9671483	3.5271468	-0.8105259	-0.16210556	-0.71788406	-0.5488701	0.25257397	0.16210556
ABCC13	1.8271198	3.1480136	-0.22694445	-0.07024336	-0.776227	-0.63782597	0.1167202	0.07024288
ABCC2	1.8714418	3.3224854	-0.86475563	-0.18112087	-0.27630472	-0.09136009	0.13027763	0.091359615
ABCC3	0.22871041	-1.7990296	3.0647862	3.0427897	-0.7282598	-0.23120189	-0.22871041	1.8346426
ABCC4	0.8200731	2.4255738	-1.9039941	-1.2746258	-0.2356062	0.14440036	-0.1444006	1.9834938
ABCC5	-0.5774083	-1.2206588	-0.07644701	-1.0391545	0.07644701	0.646688	0.9238615	2.9455905
ABCC6	1.9965775	-0.03309846	1.8754694	2.2255042	-0.72185826	0.03309846	-1.7107303	-1.9322789
ABCC6P1	1.5046923	1.8464978	1.9582617	1.202368	-2.189719	-1.4781773	-1.202368	-1.2704618
ABCC8	1.6044815	1.248471	-0.4279182	0.11158395	-0.023523092	0.023523092	-0.55222535	-0.52749324
ABCC9	2.4408283	3.2690086	-0.69229937	-0.14053583	-0.50927114	-0.55871725	0.57195854	0.14053583
ABCD1	0.3855431	0.6310675	-0.9232185	-1.812516	0.5318339	0.3429153	-0.3429153	-1.5198095
ABCD2	1.955504	3.270907	-0.82960224	-0.13261223	-0.65356016	-0.49482346	0.15440464	0.13261223
ABCD3	-0.12830687	1.6951556	0.4967556	2.79521	-1.6242967	-0.5395808	0.12830687	-0.6592951
ABCD4	-0.19860101	-0.032728434	0.45457482	0.25495267	0.06944108	0.032728434	-0.75929856	-2.1783192
ABCE1	-0.8576298	0.7538061	-0.094671726	0.116426945	0.094671726	-0.24863863	-0.38755226	0.3469243
ABCF1	-0.56129646	-0.015676975	-0.4754467	-0.71521187	1.256793	0.94169235	0.015676975	0.97057533
ABCF2	-1.2088213	0.002737999	0.08563757	-0.6105256	-0.058700085	0.2356801	-0.002737999	1.4744
ABCF3	-1.1611576	-0.09573507	-0.20884418	-0.1459198	0.2720766	0.3688116	0.09573507	0.8759985
ABCG1	1.3161268	-0.6722574	0.4961958	-1.5844722	0.85362244	0.3001914	-0.3001914	-0.6794348
ABCG2	1.5139542	2.7518258	-1.0050249	-0.69123936	-0.5048027	-0.06957102	0.06957102	1.31569
ABCG4	1.634542	3.03378	0.61118174	-0.48250437	-1.0199966	-0.84819794	0.1066823	-0.1066823
ABCG5	2.7094026	1.9785585	0.24763012	-0.63074017	-0.8417554	0.20694971	-0.36839676	-0.20694995
ABCG8	4.1927714	2.9118924	-1.134119	-0.4698205	-0.71571684	0.16635847	0.30654335	-0.166358
ABHD1	0.2868235	1.6624429	-2.38718	-1.7427623	1.7381804	2.1056912	-1.4335878	-0.2868235
ABHD10	1.9395862	3.4927545	-0.75834846	-0.14417505	-0.6963167	-0.5079708	0.19299507	0.14417458
ABHD11	0.086726904	-1.2092044	1.7000768	2.253598	-1.2015202	-0.65909886	-0.086726904	0.4932201
ABHD12	0.1889956	-1.0724094	-0.1889956	-1.2147853	0.25508952	-0.5328591	1.3272364	1.164274
ABHD12B	0.13183045	1.4029443	2.907716	3.137438	-2.5095818	-2.363263	-1.6091764	-0.13183045
