ID	Responder1	Responder2	Responder3	Responder4	NonResponder1	NonResponder2	NonResponder3	NonResponder4
U2AF1L4	0.5031700375	1.5076899375	0.0463228175	-0.4720783225	-0.2022533425	0.1216669075	-1.0293107025	-0.4752073325
PSMC3IP	-0.18338095875	1.43738758125	-0.52490508875	-0.22938811875	0.15082276125	0.07871926125	-0.77833735875	0.04908192125
PRAC	0.9518915375	0.0410509875000001	4.5610896375	5.4278601375	-3.7130364625	-1.1760787125	-3.6665772625	-2.4261998625
SDR16C6	2.408613345	1.559860845	-1.362751785	-0.595273325	-1.155670455	1.712698245	-1.492911155	-1.074565715
MLLT6	-0.09946222125	0.09389286875	0.57226686875	0.23755674875	-1.56429119125	-0.99474019125	0.34843330875	1.40634380875
ZNF362	-0.037838345	-1.179038855	-0.443836575	-0.603845955	0.216807005	0.727402345	0.104304435	1.216045945
KIAA0101	-1.4774643425	0.8263415075	-0.1085764125	0.4982026875	0.1731084605	0.0704282545	-0.4125014425	0.4304612875
FLJ45256	2.2494406375	1.3523721375	-2.6583828625	0.0285687475	-1.3797931625	2.1300668375	0.0162935275	-1.7385658625
NDP	0.95185718125	2.19276498125	-3.05863461875	3.65276298125	-1.38909281875	-0.24119795875	-0.82857407875	-1.27988566875
PDK1	-0.19998800625	-0.85498248625	0.89074838375	0.59762513375	-0.02746545625	0.41569173375	-1.05981458625	0.23818528375
INSM1	2.23153745125	2.61698545125	-1.55683648875	0.48648465125	-1.27840268875	-1.31839787875	-0.61117303375	-0.57019746375
SUMF2	0.76967851625	-1.62424478375	0.83239121625	-0.36704784375	-0.30589634375	-0.36960035375	0.12312597625	0.94159361625
HSD17B6	2.18520838	-0.0538859199999999	-4.09620262	-2.80678982	1.25669578	1.56792834	0.11864998	1.82839588
ACE2	0.754999824	-1.00346262	1.09420938	1.05843515	0.736704536	0.76242847	-0.62432652	-2.77898822
SCUBE2	1.325787925	1.225308825	1.715245125	-0.068979375	-1.199247475	-1.256459875	0.198640225	-1.940295375
OR5H15	1.24802597875	1.45669847875	-2.61664722125	-0.66926759125	0.97832827875	-0.78358548125	-0.40992872125	0.79637627875
ME3	0.7089562625	3.1041259625	3.6955292625	3.5285888625	-2.4815278375	-3.6212381375	-1.3288345375	-3.6055998375
FGF5	0.8238592975	1.7304987975	-1.1452836025	-1.2385196025	-0.6409873425	0.3914032575	-0.1009678325	0.1799970275
CXorf36	0.96436249875	1.88367642875	-2.12630187125	-0.87084830125	-0.07946837725	-0.12291539125	0.04188143475	0.30961357875
TXNIP	2.4636686	-2.3823383	1.1744173	1.2569873	-0.12366032	-1.403353	-0.9874599	0.00173832
OR1L6	0.60413085875	0.34531795875	-1.41015852125	-1.14326032125	-0.07924450125	0.83000861875	0.10949479875	0.74371110875
A2ML1	0.6067023275	0.1306075975	-3.5147090425	-3.1480808425	-0.2523760825	2.6674237575	4.3602867575	-0.8498544725
HFE2	1.39231509	3.01849239	-2.27489221	-0.86746964	-1.01393638	0.05399337	0.14592853	-0.45443115
GPR174	1.47321128375	3.08251858375	-1.30566024625	-0.64935350625	-1.16122245625	-0.89580726625	-0.21336746625	-0.33031892625
MUC5AC	0.649574561875	1.652018361875	-0.627824478125	-0.227719002125	-1.530906838125	-0.444878274125	0.975060261875	-0.445324593125
MYBL2	-1.73214917125	1.16046562875	-0.60039813125	-0.47226054125	1.18145272875	0.56982702875	-0.45077807125	0.34384052875
TCAP	-0.8734959325	3.1498824175	-1.5937932825	-1.3717015825	0.2485705675	-0.0657452325	0.2335568675	0.2727261775
BRPF3	0.57928598625	1.31712848625	-0.97114761375	-1.13956561375	0.51195562625	0.47999228625	-0.61110984375	-0.16653931375
OGT	0.01400338375	1.75420774375	0.85767709375	0.79974519375	-0.66752755625	-0.26072729625	-1.06804550625	-1.42933305625
NOS2	3.3734786125	1.1889021425	0.0996000825	1.9663541125	-3.2700426875	-2.6503402875	-2.3910104875	1.6830585125
USF1	-0.32270067125	2.04478192875	-0.99246947125	-1.58611317125	0.29504329875	-0.11554497125	0.58666022875	0.09034282875
HIC1	0.1232188295	2.5652292735	0.6906378735	-0.0820862705	-1.8802315265	-0.0509011205	-1.4717967265	0.1059296675
HYOU1	-0.739297335	-0.215302405	-0.477222385	-0.916940635	1.241177635	0.171757275	0.690926135	0.244901715
PKP2	1.18058350375	-1.76713559625	1.51743360375	1.82093000375	0.46879434375	-0.50826693625	-0.62735462625	-2.08498429625
EXOC6B	-0.693331075	1.481354325	-1.888944075	-1.690043775	0.550059441	0.374347809	0.733837725	1.132719625
ANKMY1	-1.044751	1.5383994	1.175513	0.7280099	-1.0844458	-0.370451745	-0.142808255	-0.7994655
TEX15	1.4056219925	2.9873417925	-1.3995567075	-0.7438622075	-0.9427242875	-0.7471871975	-0.3099404075	-0.2496929775
BAZ1A	-1.2453600055	0.8150099545	-0.0506702655	0.1475490345	-0.1223388915	-0.3287416755	-0.1186343455	0.9031861945
CCNI2	0.95087743	1.41402223	1.72305843	1.74587223	-1.23677227	-0.67425797	-0.77866911	-3.14413097
BICC1	2.44017848375	1.19049888375	-4.17045201625	5.82516518375	-0.72080891625	-2.20726621625	-1.20287268625	-1.15444271625
TMC8	0.63646435	2.59883145	0.96333575	0.61636615	-1.45723845	-1.45996645	-0.74412705	-1.15366575
SSPN	2.33484766375	-0.32598525625	0.0497018637500001	-0.62383157625	1.54938906375	0.99937361375	0.05175226375	-4.03524763625
ACOX2	0.8098287225	-0.9877147975	3.1687649625	2.7481755625	-1.6345010375	-1.1798501375	1.0823854625	-4.0070887375
LILRB1	2.394010425	4.593319525	-3.150952875	-2.594544975	1.348562125	-1.786430875	0.673569125	-1.477532475
APH1A	-1.1292815375	-1.5350389375	-0.7262816375	-0.6419844575	0.5310721625	0.9836935625	-0.2327566175	2.7505774625
STAP2	-0.6612568	-1.43795444	0.72543334	0.7236061	-1.21906754	-0.26880838	0.78509856	1.35294916
SERPINB7	0.3226499675	1.3495387875	-1.3153906125	-2.0447421125	0.9111876875	2.6808924875	-0.6547183925	-1.2494178125
GNL1	-0.57878185	-0.18494916	-0.58983445	-0.59335445	0.78084635	0.61782815	-0.43488574	0.98313115
SMC1B	3.0478628925	2.7756446925	-2.5232469075	-1.8300444075	-0.4682055675	0.0432709525	0.2462929525	-1.2915746075
UBR1	0.54279793375	1.21267923375	0.75953663375	0.26844680375	-0.02934753625	-0.29098903625	-1.32746466625	-1.13565936625
ZNF259P	0.41705946625	1.99682006625	-0.47358507375	-0.34594339575	0.23942571625	-0.33544487175	-0.84019607375	-0.65813583375
ELANE	1.89627216375	2.65233896375	-1.28430793625	-1.44327878625	-0.38754653625	-0.55260705625	-0.03604697625	-0.84482383625
MGC5566	1.3271458275	1.6247218275	-1.5143834725	-1.5304819725	0.2153266075	-0.3634287725	0.2293685075	0.0117314475
RGS5	6.8840053625	1.2173734625	-3.3539127375	-2.5949844375	0.9597669625	-1.5379256375	0.5028873625	-2.0772103375
ESR1	1.01168894875	2.08990644875	-1.29404085125	-0.89402600125	-0.50864860125	0.09654739875	-0.08306023125	-0.41836711125
COL15A1	3.5029028375	1.3541134375	-2.9097276625	-0.0885835624999999	1.0317648375	-2.6389828625	1.8037356375	-2.0552226625
MYO18B	1.842508198875	2.389533898875	-1.850412901125	-1.300305001125	-0.225700942125	-0.759008001125	0.0929993688749999	-0.189614621125
HERV-FRD	2.0480655	2.3629731	-1.9546114	-1.2779714	-0.25575363	-0.59650337	0.5901183	-0.9163171
COL10A1	-0.504672744	-0.393942096	-1.44295857	-2.37330692	4.55144218	-1.72942802	2.21643998	-0.32357381
ZP2	1.85642702	2.46317902	-2.03999398	-1.37858218	-0.46498556	-0.54141588	0.27356796	-0.1681964
PPBP	1.22155572625	2.49432942625	-0.77314567375	0.01094007625	-1.35453177375	-1.05804681375	0.04190445625	-0.58300542375
FAM53B	0.029519387	-0.77005833	-0.2994334	0.12299854	-0.86263531	0.079414673	0.39847261	1.30172183
PRB3	-0.1868956075	0.2992942525	-1.3611519475	-1.5983703075	-0.7130887475	-0.7034985975	4.8910052525	-0.6272942975
FXR1	-0.6593413325	0.5489225275	-0.5863795325	-0.5145049125	0.6777510675	0.9784808275	-0.7614498125	0.3165211675
C14orf142	1.3467641025	0.0219522125	-1.2981146975	-0.9833673975	0.7879672625	0.3500199925	0.6073151225	-0.8325365975
BCAM	0.35845695	0.540655	-2.9462673	-2.9403663	2.699119	2.573645	-0.5662948	0.28105245
MFAP2	0.166272705	-1.788180795	-0.312222895	-2.744640795	1.156489905	0.860134665	0.679672305	1.982474905
KCNS3	2.592758625	-1.363147775	-2.133098575	-3.406416375	-0.244607439	-0.166338911	1.574748025	3.146102425
FLJ10213	0.620169835	-0.041489425	1.230377335	0.806599835	-0.409029305	-0.714454965	-0.479018985	-1.013154325
RAB21	-0.13860786125	-2.48359998125	-0.24514950125	-0.38435161125	1.14860831875	0.92486391875	0.38977109875	0.78846561875
IGFL3	-0.94467171875	1.46842228125	-2.10699431875	-0.59073697875	-0.73591243875	2.61541928125	0.11648834125	0.17798555125
